final_canonical,dominant_category,total_count,n_raw_variants,n_required,n_preferred,sample_variants
manufacturing,Domain Knowledge,34,7,16,18,sản xuất|Sản xuất|Manufacturing|manufacturing|sản xuất/manufacturing
test case writing,Testing & QA,34,9,33,1,viết test case|viết Test Case|write professional test cases|test case writing|Viết test case
scripting,Programming Language,34,8,21,13,scripting language|scripting|Scripting|scripting/automation|Scripting language
technical leadership,Soft Skill,34,7,27,7,technical leadership|dẫn dắt kỹ thuật|Technical Leader|lãnh đạo kỹ thuật|Technical leadership
bpmn,Engineering Concepts & Methodologies,34,1,31,3,BPMN
authentication,Engineering Concepts & Methodologies,33,7,28,5,Authentication|authentication|authentication & authorization|Authentication & Authorization|authentication protocols
organizational,Soft Skill,33,5,31,2,sắp xếp công việc|organizational|tổ chức|organizational skills|organization
powershell,Programming Language,33,4,20,13,PowerShell|powershell|Powershell|powershelll
odoo,Tool & Platform,33,1,21,12,Odoo
chinese,Soft Skill,33,5,15,18,Chinese|tiếng Trung|Tiếng Trung|Tiếng trung|tiếng trung
insurance,Domain Knowledge,33,8,9,24,bảo hiểm|insurance|Insurance|Bảo hiểm|hệ thống bảo hiểm
hệ thống,Infrastructure & DevOps,33,12,25,8,hệ thống|Hệ thống|đặc tả yêu cầu hệ thống|vận hành hệ thống|thiết lập hệ thống
làm tài liệu,Engineering Concepts & Methodologies,33,17,33,0,viết tài liệu giải pháp kỹ thuật|viết tài liệu nghiệp vụ|viết tài liệu yêu cầu|xây dựng tài liệu kỹ thuật|viết document
project management software,Engineering Concepts & Methodologies,32,13,31,1,quản lý dự án phần mềm|phần mềm quản lý dự án|quản trị dự án phần mềm|quản lý các dự án phần mềm|project management software
ios,Tool & Platform,32,4,26,6,iOS|IOS|ios|iOs
itil,Other,32,1,18,14,ITIL
nginx,Infrastructure & DevOps,32,4,28,4,Nginx|NGINX|nginx|NginX
jmeter,Testing & QA,32,3,23,9,Jmeter|JMeter|jMeter
mobile testing,Testing & QA,32,22,27,5,kiểm thử Mobile App|kiểm thử Mobile|kiểm thử mobile|kiểm thử MobileApp|kiểm thử tự động mobile
creativity,Soft Skill,32,6,31,1,Tư duy sáng tạo|creativity|sáng tạo|tư duy sáng tạo|Creativity
software design,Engineering Concepts & Methodologies,32,15,30,2,"phân tích, thiết kế hệ thống phần mềm|mô hình phát triển phần mềm|tạo tài liệu thiết kế phần mềm|Kiến trúc thiết kế ứng dụng/phần mềm|thiết kế phần mềm"
wifi,Infrastructure & DevOps,31,5,26,5,Wi-Fi|wifi|WiFi|Wifi|WIFI
data security,Infrastructure & DevOps,31,10,25,6,Data Protection|an ninh dữ liệu|bảo mật dữ liệu|an toàn dữ liệu|Data Security
entity framework,Framework / Library,31,4,29,2,Entity Framework|Entity Framework Core|entity framework|Entity frameworks
n8n,Tool & Platform,31,4,17,14,n8n|N8N workflow|N8N|n8n workflow
django,Framework / Library,31,2,25,6,Django|Django ORM
web service,Engineering Concepts & Methodologies,31,11,29,2,webservice|WebService|Webservice|API Webservice|Web Service
data visualization,Data Engineering & Analytics,31,10,22,9,Data Visualization|data visualization|trực quan hóa dữ liệu|Data visualization|visualization
google sheets,Tool & Platform,31,3,29,2,Google Sheets|Google Sheet|Google sheet
web development,Domain Knowledge,31,9,28,3,Web development|web development|web application development|Web Development|Web Application Development
lan,Infrastructure & DevOps,30,6,28,2,LAN|mạng LAN|mạng Lan|mạng lan|Mạng LAN
istqb,Other,30,1,5,25,ISTQB
đọc hiểu tài liệu kỹ thuật,Soft Skill,30,4,27,3,đọc hiểu tài liệu kỹ thuật|Đọc hiểu tài liệu kỹ thuật|đọc hiểu và phân tích tài liệu kỹ thuật|đọc tài liệu kỹ thuật
pl sql,Programming Language,30,5,26,4,PL/SQL|T-SQL|PLSQL|PL / SQL|PL-SQL
cypress,Testing & QA,30,1,22,8,Cypress
chatbot,AI/ML/Data,30,5,12,18,Chatbot|AI chatbot|Chatbots|chatbot|chatbots
version control,Tool & Platform,30,6,27,3,version control|source control|Source Control|version control system|version control systems
database management,Database,29,10,28,1,database management|DBMS|quản trị CSDL|hệ quản trị cơ sở dữ liệu|quản trị cơ sở dữ liệu
can,Embedded & Firmware,29,1,23,6,CAN
ms project,Tool & Platform,29,3,26,3,MS Project|Microsoft Project|Microsoft project
vietnamese,Soft Skill,29,4,24,5,Tiếng Việt|Vietnamese|tiếng Việt|Vietnamese communication
pandas,Framework / Library,29,2,24,5,Pandas|pandas
palo alto,Infrastructure & DevOps,28,7,21,7,Palo Alto|Palo Alto Networks|PaloAlto|Palo alto|Paloalto
telecom,Domain Knowledge,28,4,15,13,telecommunication|Telecom|viễn thông|Viễn thông
asynchronous programming,Engineering Concepts & Methodologies,28,10,26,2,Async/Await|async/await|asynchronous programming|Asynchronous Programming|Async-Await
user experiences research,Design & UX,28,14,24,4,User Experiences Research|UX Research|user research|UX research|nghiên cứu người dùng
claude,Tool & Platform,28,1,20,8,Claude
vlan,Infrastructure & DevOps,28,1,28,0,VLAN
generative ai,AI/ML/Data,28,5,21,7,Generative AI|GenAI|genAI|generative AI|AI Generative
brse,Other,28,3,23,5,BrSE|BRSE|Brse
web testing,Testing & QA,28,12,25,3,kiểm thử Web|Web Testing|kiểm thử web|web testing|web application testing
blockchain,Domain Knowledge,28,6,11,17,blockchain|BLOCKCHAIN|Blockchain|BlockChain|Blockchain/Tokenization
product management,Soft Skill,27,9,23,4,product management|Product Management|quản lý sản phẩm|Product management|Quản lý Sản phẩm
concurrent programming,Engineering Concepts & Methodologies,27,8,25,2,concurrency|Concurrency|concurrency patterns|High Concurrency|high concurrency
ubuntu,Tool & Platform,27,2,24,3,Ubuntu|ubuntu
user experience,Design & UX,27,5,25,2,UX|User experience|user experience|user experience (UX)|User Experience (UX)
embedded software development,Embedded & Firmware,27,12,23,4,embedded systems|hệ thống nhúng|embedded software development|Embedded Software development|Hệ thống nhúng
r,Programming Language,27,1,24,3,R
flask,Framework / Library,27,1,21,6,Flask
functional testing,Testing & QA,27,11,22,5,Functional Test|Functional testing|functional testing|functional test|Functional Testing
coroutines,Framework / Library,27,4,24,3,Coroutine|Coroutines|coroutines|coroutine
active directory,Infrastructure & DevOps,27,2,22,5,Active Directory|active directories
microcontrollers,Embedded & Firmware,27,9,25,2,MCU|vi điều khiển|microcontrollers|Microcontrollers|Automotive microcontrollers
chuyển đổi số,Domain Knowledge,27,5,17,10,"số hóa, chuyển đổi số|chuyển đổi số|số hóa|Chuyển đổi số|triển khai số hoá"
architecture,Engineering Concepts & Methodologies,27,15,20,7,Architecture|architecture|thiết kế kiến trúc|kiến trúc HA|cải tổ kiến trúc
healthcare,Domain Knowledge,27,9,7,20,mảng y tế|healthcare IT|lĩnh vực y tế|y tế|Healthcare
srs,Engineering Concepts & Methodologies,27,1,27,0,SRS
retail,Domain Knowledge,26,5,6,20,Retail|bán lẻ|retail|chuỗi bán lẻ|Bán lẻ
cloud security,Infrastructure & DevOps,26,8,19,7,Cloud security|Cloud security ecosystem|cloud security|Cloud Security Tools|Cloud Security
expressjs,Framework / Library,26,6,24,2,Express|Express.js|EXPRESSJS|ExpressJS|Expressjs
hrm,Domain Knowledge,26,1,9,17,HRM
design system,Design & UX,26,8,22,4,Design System|design systems|design system|design process|hệ thống thiết kế
chứng khoán,Domain Knowledge,26,4,5,21,chứng khoán|Chứng khoán|Chứng Khoán|công ty chứng khoán
statistics,AI/ML/Data,26,11,23,3,statistics|statistical analysis|statistical methods|statistical modeling|thống kê ứng dụng
performance,Engineering Concepts & Methodologies,26,7,23,3,hiệu năng|Performance|performance|hiệu năng cao|hiệu năng hệ thống
devsecops,Infrastructure & DevOps,26,1,19,7,DevSecOps
openai,AI/ML/Data,25,2,15,10,OpenAI|OpenAI APIs
data management,Data Engineering & Analytics,25,11,19,6,data management principles|quản trị dữ liệu|Data Management|Quản trị dữ liệu|quy trình quản trị dữ liệu
domain driven design,Engineering Concepts & Methodologies,25,7,19,6,Domain Driven Design|DDD|Domain-Driven Design|domain-driven design|Domain-driven design
strategic thinking,Soft Skill,25,6,25,0,Tư duy chiến lược|tư duy chiến lược|Strategic thinking|strategic thinking|Strategic Thinking
google analytics,Tool & Platform,25,3,16,9,Google Analytics|GA4|Google Analytics 4
brd,Engineering Concepts & Methodologies,25,1,25,0,BRD
waf,Infrastructure & DevOps,25,1,19,6,WAF
transformer,AI/ML/Data,25,4,23,2,Transformer|transformers|Transformers|transformer
disaster recovery,Infrastructure & DevOps,25,9,18,7,Disaster Recovery|DR|disaster recovery|Backup & Disaster Recovery|Backup và Disaster Recovery
tailwind,Framework / Library,25,6,20,5,Tailwind CSS|Tailwind|tailwind|TailwindCSS|TailWindCSS
a b testing,Engineering Concepts & Methodologies,25,4,12,13,A/B testing|A/B Testing|A/B tests|A/B test
cursor,Tool & Platform,25,1,20,5,Cursor
hadoop,Data Engineering & Analytics,25,1,19,6,Hadoop
sap,Tool & Platform,25,1,12,13,SAP
quản trị mạng,Infrastructure & DevOps,25,11,23,2,quản trị mạng|Quản trị mạng|xử lý sự cố hệ thống mạng|vận hành hệ thống mạng|quản trị hệ thống mạng
marketing,Domain Knowledge,25,8,16,9,marketing|Marketing|Marketing operation|AI trong marketing|Product Marketing
orm,Engineering Concepts & Methodologies,25,1,24,1,ORM
process modeling,Engineering Concepts & Methodologies,25,12,21,4,mô phỏng quy trình|Phân tích quy trình|phân tích quy trình|quy trình nghiệp vụ|business process modeling
san,Infrastructure & DevOps,24,1,20,4,SAN
mockup,Design & UX,24,4,22,2,mockup|Mockup|mockups|vẽ mockup
memory management,Engineering Concepts & Methodologies,24,8,22,2,memory management|memory leak|Memory Management|Memory Leak|quản lý memory
data science,AI/ML/Data,24,6,21,3,Data Scientist|Data Science|Khoa học Dữ liệu|data science|khoa học dữ liệu
tester,Testing & QA,24,2,21,3,Tester|tester
rest,Engineering Concepts & Methodologies,24,1,22,2,REST
customer service,Soft Skill,24,11,14,10,tư duy dịch vụ khách hàng|Tư duy dịch vụ khách hàng|Customer Support|customer support|CSKH
hugging face,AI/ML/Data,24,3,22,2,Hugging Face Transformers|Hugging Face|HuggingFace
scalability,Engineering Concepts & Methodologies,24,5,23,1,scalable|scalability|Scalability|scalability design|high-scalability
notion,Tool & Platform,24,1,18,6,Notion
linux system administration,Infrastructure & DevOps,24,10,22,2,Linux administration|Linux system administration|quản trị hệ thống Linux|System Administration (Linux)|Linux systems administration
game mobile,Domain Knowledge,24,14,17,7,game mobile|phát triển game mobile|vòng đời sản phẩm mobile game|Game Mobile|Game mobile
mathematics,AI/ML/Data,24,7,23,1,toán học|toán học ứng dụng|Mathematics|đại số tuyến tính|Đại số tuyến tính
cissp,Other,24,1,0,24,CISSP
embeddings,AI/ML/Data,24,6,22,2,embeddings|vector embeddings|Vector Embeddings|Embeddings|Embedding
data lake,Data Engineering & Analytics,24,5,20,4,Data Lake|Data lake|data lake|Data Lake Technologies|data lakes
redmine,Tool & Platform,23,1,20,3,Redmine
công cụ ai,AI/ML/Data,23,3,16,7,công cụ AI|Công cụ AI|công cụ BI
application security,Infrastructure & DevOps,23,7,22,1,web application security|bảo mật ứng dụng|application security|Application Security|Bảo mật ứng dụng
zabbix,Infrastructure & DevOps,23,1,17,6,Zabbix
wordpress,Tool & Platform,23,3,14,9,WordPress|wordpress|Wordpress
claude code,Tool & Platform,23,1,19,4,Claude Code
product development,Engineering Concepts & Methodologies,23,11,20,3,phát triển sản phẩm|Phát triển sản phẩm|product development|phát triển product|product development process
pci dss,Other,23,2,11,12,PCI-DSS|PCI DSS
ai solutions,Soft Skill,23,14,23,0,định hướng giải pháp|định nghĩa giải pháp|đưa ra giải pháp|đề xuất giải pháp|trình bày giải pháp
adobe xd,Tool & Platform,23,2,18,5,Adobe XD|XD
phối hợp đội nhóm,Soft Skill,23,16,23,0,đào tạo đội ngũ|phối hợp đội nhóm|kết nối đội nhóm|điều phối đội nhóm|xây dựng đội ngũ
llm application development,AI/ML/Data,23,6,17,6,LLM APIs|LLM integration|LLM API|LLM application|LLM-based applications
s3,Infrastructure & DevOps,23,1,21,2,S3
presales,Domain Knowledge,23,8,18,5,Presales|presales|Pre-Sales|pre-sale|Pre-sales
game design,Design & UX,22,7,20,2,thiết kế giao diện game|thiết kế game|Game Design|game design|Game Designer
scala,Programming Language,22,1,18,4,Scala
storage,Infrastructure & DevOps,22,2,20,2,storage|Storage
logging,Infrastructure & DevOps,22,2,19,3,logging|Logging
dart,Programming Language,22,1,16,6,Dart
maven,Tool & Platform,22,1,19,3,Maven
mobile,Other,22,4,14,8,Mobile|mobile|mobile development|Mobile Development
use case,Engineering Concepts & Methodologies,22,6,22,0,Use Case|Use case|use case|Use-Case|use cases
mlflow,Infrastructure & DevOps,22,3,15,7,MLflow|MLFlow|Mlflow
swagger,Tool & Platform,22,2,22,0,Swagger|swagger
http,Engineering Concepts & Methodologies,22,2,22,0,HTTP|Http
jetpack compose,Framework / Library,22,3,15,7,Jetpack Compose|Jetpack Components|Jetpack components
test driven development,Engineering Concepts & Methodologies,22,5,17,5,TDD|Test-Driven Development|test-driven development|test driven development|Test-Driven Development (TDD)
kanban,Engineering Concepts & Methodologies,22,1,17,5,Kanban
server,Infrastructure & DevOps,22,2,19,3,server|Server
indexing,Database,22,6,20,2,Indexing|indexing|Index|index|index data
balsamiq,Tool & Platform,22,2,18,4,Balsamiq|balsamiq
core banking,Domain Knowledge,22,10,12,10,core banking|Core Banking|Core Banking systems|Core Banking System|corebanking
app store,Tool & Platform,22,4,13,9,App Store|Apple App Store|App store|đẩy app lên Store
sketch,Tool & Platform,22,1,17,5,Sketch
deployment,Infrastructure & DevOps,21,11,15,6,on-prem deployment|deployment|deploy|cloud deployment|Deployment
argocd,Infrastructure & DevOps,21,1,20,1,ArgoCD
sqlite,Database,21,2,20,1,SQLite|SQlite
market research,Domain Knowledge,21,12,18,3,phân tích xu hướng thị trường|nghiên cứu thị trường|xu hướng thị trường|phân tích thị trường|xu hướng của thị trường
enterprise,Domain Knowledge,21,9,4,17,Enterprise IT|Enterprise|enterprise platforms|enterprise systems|enterprise IT
soap,Engineering Concepts & Methodologies,21,1,19,2,SOAP
git flow,Tool & Platform,21,6,21,0,Git Flow|git flow|Git workflow|Git flow|Git-flow
google play,Tool & Platform,21,4,13,8,Google Play|Play Store|play store|Google Play Store
accounting,Domain Knowledge,21,8,18,3,Accounting Principles|Financial Accounting|Kế toán|kế toán|Accounting
operating systems,Tool & Platform,21,7,21,0,Hệ điều hành|hệ điều hành|operating systems|operating system fundamentals|operating system architecture
numpy,Framework / Library,21,3,19,2,NumPy|numpy|Numpy
llamaindex,Framework / Library,21,2,16,5,LlamaIndex|LLamaIndex
user flow,Design & UX,21,7,20,1,user flows|user flow|thiết kế user flow|User Flow|User flow
mcse,Other,21,1,3,18,MCSE
ai projects,Engineering Concepts & Methodologies,21,14,13,8,dự án ATTT|kinh nghiệm thực tập/dự án|triển khai dự án IT|triển khai dự án|điều phối dự án
java spring boot,Framework / Library,21,8,21,0,Java Spring Boot|java spring boot|Springboot|Java Spring|SpringBoot
ra quyết định,Soft Skill,21,1,21,0,ra quyết định
gradle,Tool & Platform,21,2,18,3,Gradle|gradle
bigquery,Data Engineering & Analytics,21,3,9,12,Google BigQuery|BigQuery|Bigquery
junit,Testing & QA,21,3,17,4,JUnit|jUnit|Junit
test data,Testing & QA,21,11,18,3,Data Testing|tạo test data|test data|Test Data|Data testing
bảo mật thông tin,Infrastructure & DevOps,20,6,19,1,bảo mật thông tin|An toàn Bảo mật thông tin|Bảo mật thông tin|bảo mật thông tin hệ thống|bảo mật cơ bản
function calling,AI/ML/Data,20,6,18,2,Function Calling|tool calling|function calling|function-calling|Tool-calling
